ID,first_year,last_year
ASN00040040,1970,1992
ASN00040043,1750,2024
ASN00040062,1913,2000
ASN00040068,1750,2023
ASN00040082,1750,2023
ASN00040093,1750,2023
ASN00040101,1913,1993
ASN00040112,1947,2000
ASN00040121,2001,2016
ASN00040126,1750,2023
ASN00040158,1913,1992
ASN00040189,1937,1970
ASN00040190,1938,1991
ASN00040197,1938,1978
ASN00040209,1750,2023
ASN00040211,1750,2023
ASN00040214,1887,2013
ASN00040223,1944,2024
ASN00040241,1971,1998
ASN00040242,1913,1976
ASN00040264,1895,1996
ASN00040282,1953,2007
ASN00040284,1750,2023
ASN00040288,1962,1986
ASN00040308,1970,1992
ASN00040405,1750,2023
ASN00040428,1968,2007
ASN00040436,1968,2007
ASN00040454,1971,1986
ASN00040555,1997,2014
ASN00040651,1999,2017
ASN00040697,1981,2004
ASN00040717,1750,2023
ASN00040764,1750,2023
ASN00040842,1750,2023
ASN00040854,1750,2023
ASN00040856,1750,2023
ASN00040861,1750,2023
ASN00040908,1750,2024
ASN00040913,1750,2023
ASN00040922,1750,2023
ASN00040958,1750,2023
ASN00041011,1913,1992
ASN00041023,1893,1991
ASN00041038,1891,1991
ASN00041044,1965,1998
ASN00041056,1907,1992
ASN00041082,1909,1975
ASN00041095,1750,2023
ASN00041100,1750,2023
ASN00041103,1931,1998
ASN00041116,1938,1992
ASN00041175,1750,2023
ASN00041176,1967,1994
ASN00041341,1972,1985
ASN00041359,1750,2023
ASN00041521,1991,2015
ASN00041522,1750,2023
ASN00041525,1750,2023
ASN00041529,1750,2023
ASN00042023,1908,2005
ASN00042112,1750,2024
ASN00043015,1750,2023
ASN00043020,1750,2023
ASN00043030,1889,1992
ASN00043034,1938,1997
ASN00043035,1750,2023
ASN00043091,1750,2023
ASN00043109,1750,2024
ASN00044010,1907,2021
ASN00044021,1750,2024
ASN00044022,1889,1953
ASN00044026,1750,2023
ASN00044036,1942,1967
ASN00045000,1938,1978
ASN00045009,1750,2023
ASN00045015,1941,2014
ASN00045017,1938,2005
ASN00045025,1750,2024
ASN00046012,1750,2024
ASN00046037,1910,2014
ASN00046042,1907,2011
ASN00046043,1881,2014
ASN00046126,1750,2024
ASN00046128,1750,2023
ASN00046129,1750,2023
ASN00047007,1891,2015
ASN00047016,1750,2023
ASN00047019,1750,2023
ASN00047029,1750,2023
ASN00047031,1940,1970
ASN00047048,1750,2024
ASN00047053,1907,1967
ASN00047102,1961,1985
ASN00048013,1871,1996
ASN00048015,1750,2023
ASN00048027,1750,2024
ASN00048030,1881,1965
ASN00048031,1907,2020
ASN00048079,1750,2023
ASN00048237,1750,2023
ASN00048243,1750,2023
ASN00048245,1750,2024
ASN00049000,1750,2023
ASN00049002,1907,2023
ASN00049013,1907,1970
ASN00049019,1939,2012
ASN00049032,1907,1971
ASN00050014,1907,1995
ASN00050017,1750,2024
ASN00050031,1965,2022
ASN00050037,1970,1988
ASN00050052,1954,2023
ASN00050102,1907,1992
ASN00050137,1750,2024
ASN00051010,1907,2010
ASN00051018,1915,1975
ASN00051039,1750,2023
ASN00051042,1907,1974
ASN00051048,1913,1975
ASN00051049,1750,2023
ASN00051161,1750,2023
ASN00052020,1750,2023
ASN00052026,1878,1993
ASN00052088,1750,2024
ASN00053002,1944,2005
ASN00053027,1907,1965
ASN00053030,1962,2002
ASN00053048,1964,1998
ASN00053115,1750,2024
ASN00054003,1750,2023
ASN00054004,1907,1975
ASN00054029,1907,1975
ASN00054038,1750,2023
ASN00054104,1971,2009
ASN00055023,1877,2011
ASN00055024,1750,2024
ASN00055049,1750,2023
ASN00055054,1907,1992
ASN00055136,1750,2023
ASN00055202,1750,2024
ASN00055325,1750,2023
ASN00056002,1857,1997
ASN00056006,1914,1970
ASN00056011,1907,2012
ASN00056013,1750,2023
ASN00056016,1911,1972
ASN00056017,1874,1997
ASN00056018,1750,2024
ASN00056021,1938,1972
ASN00056032,1907,2022
ASN00056034,1938,1963
ASN00056035,1957,1975
ASN00056037,1750,2023
ASN00056229,1750,2023
ASN00056238,1750,2023
ASN00056242,1750,2024
ASN00056243,1750,2023
ASN00057009,1939,1968
ASN00057017,1941,1969
ASN00057082,1950,1974
ASN00057095,1750,2023
ASN00058009,1974,2007
ASN00058012,1750,2024
ASN00058013,1907,1972
ASN00058027,1915,1972
ASN00058037,1907,2003
ASN00058050,1940,1968
ASN00058052,1946,1966
ASN00058057,1970,1992
ASN00058060,1943,1968
ASN00058063,1908,2012
ASN00058065,1916,1975
ASN00058077,1750,2023
ASN00058130,1966,2014
ASN00058131,1968,2011
ASN00058158,1972,2023
ASN00058161,1750,2023
ASN00058198,1750,2023
ASN00058208,1750,2023
ASN00058212,1750,2023
ASN00058214,1750,2023
ASN00058216,1750,2023
